开始 10000 代进化 (K=2)...
Generation 6550 | Avg Best Fitness (K=2): -166316000.00 | Avg Violations: 53.00
Generation 6600 | Avg Best Fitness (K=2): -166135200.00 | Avg Violations: 52.50
Generation 6650 | Avg Best Fitness (K=2): -165815200.00 | Avg Violations: 52.00
Generation 6700 | Avg Best Fitness (K=2): -165745200.00 | Avg Violations: 52.00
Generation 6750 | Avg Best Fitness (K=2): -165715200.00 | Avg Violations: 52.00
Generation 6800 | Avg Best Fitness (K=2): -165620600.00 | Avg Violations: 52.00
Generation 6850 | Avg Best Fitness (K=2): -165571000.00 | Avg Violations: 52.00
Generation 6900 | Avg Best Fitness (K=2): -165442600.00 | Avg Violations: 52.00
Generation 6950 | Avg Best Fitness (K=2): -165422600.00 | Avg Violations: 52.00
Generation 7000 | Avg Best Fitness (K=2): -165252600.00 | Avg Violations: 51.50
Generation 7050 | Avg Best Fitness (K=2): -165141400.00 | Avg Violations: 51.50
Generation 7100 | Avg Best Fitness (K=2): -164471000.00 | Avg Violations: 50.00
Generation 7150 | Avg Best Fitness (K=2): -164319800.00 | Avg Violations: 50.00
Generation 7200 | Avg Best Fitness (K=2): -163981400.00 | Avg Violations: 49.50
Generation 7250 | Avg Best Fitness (K=2): -163951000.00 | Avg Violations: 49.50
Generation 7300 | Avg Best Fitness (K=2): -163881000.00 | Avg Violations: 49.50
Generation 7350 | Avg Best Fitness (K=2): -163811400.00 | Avg Violations: 49.50
Generation 7400 | Avg Best Fitness (K=2): -163746800.00 | Avg Violations: 49.50
Generation 7450 | Avg Best Fitness (K=2): -163736400.00 | Avg Violations: 49.50
Generation 7500 | Avg Best Fitness (K=2): -163696800.00 | Avg Violations: 49.50
Generation 7550 | Avg Best Fitness (K=2): -163576000.00 | Avg Violations: 49.50
Generation 7600 | Avg Best Fitness (K=2): -163556000.00 | Avg Violations: 49.50
Generation 7650 | Avg Best Fitness (K=2): -163470600.00 | Avg Violations: 49.50
Generation 7700 | Avg Best Fitness (K=2): -163440600.00 | Avg Violations: 49.50
